Lowest trough value in cleaned_40mV 80Hz_µA_3.csv: 0.06580304062311754
No troughs found in cleaned_40mV 80Hz_µA_4.csv
Lowest trough value in cleaned_40mV 80Hz_µA_5.csv: 0.01734727644688705
Lowest trough value in cleaned_40mV 80Hz_µA_6.csv: 0.11246426645547863
Lowest trough value in cleaned_40mV 80Hz_µA_7.csv: -0.01992978969098147
Lowest trough value in cleaned_40mV 80Hz_µA_8.csv: 0.012490114533984076
Lowest trough value in cleaned_50mV 100Hz_µA_1.csv: 0.21648493126729884
Lowest trough value in cleaned_50mV 100Hz_µA_2.csv: 0.1192364340325599
Lowest trough value in cleaned_50mV 100Hz_µA_3.csv: 0.10933070916152116
No troughs found in cleaned_50mV 100Hz_µA_4.csv
Lowest trough value in cleaned_50mV 100Hz_µA_5.csv: 0.03126141731769133
Lowest trough value in cleaned_50mV 100Hz_µA_6.csv: 0.14932231217381187
Lowest trough value in cleaned_50mV 100Hz_µA_7.csv: -0.0303362059853875
Lowest trough value in cleaned_50mV 100Hz_µA_8.csv: 0.032992685287150825
Lowest trough value in cleaned_50mV 150Hz_µA_1.csv: 0.25885397064947335
Lowest trough value in cleaned_50mV 150Hz_µA_2.csv: 0.14041701524603867
Lowest trough value in cleaned_50mV 150Hz_µA_3.csv: 0.14121464706079312
Lowest trough value in cleaned_50mV 150Hz_µA_4.csv: 0.2182212776091308
Lowest trough value in cleaned_50mV 150Hz_µA_5.csv: 0.04171915866557724
Lowest trough value in cleaned_50mV 150Hz_µA_6.csv: 0.16046287447643137
Lowest trough value in cleaned_50mV 150Hz_µA_7.csv: -0.025696597513127695
Lowest trough value in cleaned_50mV 150Hz_µA_8.csv: 0.019479080774363833
Lowest trough value in cleaned_50mV 200Hz_µA_1.csv: 0.2787812267033183
Lowest trough value in cleaned_50mV 200Hz_µA_2.csv: 0.1841875858860038
Lowest trough value in cleaned_50mV 200Hz_µA_3.csv: 0.18167389035824877
Lowest trough value in cleaned_50mV 200Hz_µA_4.csv: 0.3283302510114774
Lowest trough value in cleaned_50mV 200Hz_µA_5.csv: 0.05705956361343911
Lowest trough value in cleaned_50mV 200Hz_µA_6.csv: 0.15738582073910545
Lowest trough value in cleaned_50mV 200Hz_µA_7.csv: -0.03803422969280068
Lowest trough value in cleaned_50mV 200Hz_µA_8.csv: 0.01726730926781872
Lowest trough value in cleaned_50mV 20Hz_µA_1.csv: -0.9551057100623714
No troughs found in cleaned_50mV 20Hz_µA_2.csv
No troughs found in cleaned_50mV 20Hz_µA_3.csv
No troughs found in cleaned_50mV 20Hz_µA_4.csv
No troughs found in cleaned_50mV 20Hz_µA_5.csv
No troughs found in cleaned_50mV 20Hz_µA_6.csv
Lowest trough value in cleaned_50mV 20Hz_µA_7.csv: -0.8534997880272956
No troughs found in cleaned_50mV 20Hz_µA_8.csv
Lowest trough value in cleaned_50mV 300Hz_µA_1.csv: 0.40259050542272545
Lowest trough value in cleaned_50mV 300Hz_µA_2.csv: 0.2610692960943308
Lowest trough value in cleaned_50mV 300Hz_µA_3.csv: 0.2256650518904748
Lowest trough value in cleaned_50mV 300Hz_µA_4.csv: 0.4433681682653563
Lowest trough value in cleaned_50mV 300Hz_µA_5.csv: 0.08767763861290079
Lowest trough value in cleaned_50mV 300Hz_µA_6.csv: 0.21211032850069222
Lowest trough value in cleaned_50mV 300Hz_µA_7.csv: -0.06938837497071393
Lowest trough value in cleaned_50mV 300Hz_µA_8.csv: 0.009066743393091103
Lowest trough value in cleaned_50mV 40Hz_µA_1.csv: -1.3102784468059085
Lowest trough value in cleaned_50mV 40Hz_µA_2.csv: -0.02643574140209709
Lowest trough value in cleaned_50mV 40Hz_µA_3.csv: -0.013841016490012542
No troughs found in cleaned_50mV 40Hz_µA_4.csv
No troughs found in cleaned_50mV 40Hz_µA_5.csv
No troughs found in cleaned_50mV 40Hz_µA_6.csv
No troughs found in cleaned_50mV 40Hz_µA_7.csv
No troughs found in cleaned_50mV 40Hz_µA_8.csv
Lowest trough value in cleaned_50mV 60Hz_µA_1.csv: 0.12648625539599279
Lowest trough value in cleaned_50mV 60Hz_µA_2.csv: 0.10771239595963189
Lowest trough value in cleaned_50mV 60Hz_µA_3.csv: 0.08308890350409387
No troughs found in cleaned_50mV 60Hz_µA_4.csv
Lowest trough value in cleaned_50mV 60Hz_µA_5.csv: 0.027833622495090582
Lowest trough value in cleaned_50mV 60Hz_µA_6.csv: 0.14914807480565712
No troughs found in cleaned_50mV 60Hz_µA_7.csv
Lowest trough value in cleaned_50mV 60Hz_µA_8.csv: 0.04674190125043329
Lowest trough value in cleaned_50mV 80Hz_µA_1.csv: 0.21385044641530682
Lowest trough value in cleaned_50mV 80Hz_µA_2.csv: 0.10920123485244537
Lowest trough value in cleaned_50mV 80Hz_µA_3.csv: 0.09819716360487468
No troughs found in cleaned_50mV 80Hz_µA_4.csv
Lowest trough value in cleaned_50mV 80Hz_µA_5.csv: 0.027045901766896918
Lowest trough value in cleaned_50mV 80Hz_µA_6.csv: 0.1472259431435669
Lowest trough value in cleaned_50mV 80Hz_µA_7.csv: -0.018634932893294376
Lowest trough value in cleaned_50mV 80Hz_µA_8.csv: 0.03680588101372845
Lowest trough value in cleaned_60mV 100Hz_µA_1.csv: 0.2071400037086487
Lowest trough value in cleaned_60mV 100Hz_µA_2.csv: 0.17060863888507427
Lowest trough value in cleaned_60mV 100Hz_µA_3.csv: 0.15122121920604167
No troughs found in cleaned_60mV 100Hz_µA_4.csv
Lowest trough value in cleaned_60mV 100Hz_µA_5.csv: 0.04776698529170903
Lowest trough value in cleaned_60mV 100Hz_µA_6.csv: 0.19905628913369555
No troughs found in cleaned_60mV 100Hz_µA_7.csv
Lowest trough value in cleaned_60mV 100Hz_µA_8.csv: 0.05996359984440691
Lowest trough value in cleaned_60mV 150Hz_µA_1.csv: 0.23441974660065812
Lowest trough value in cleaned_60mV 150Hz_µA_2.csv: 0.20745282470379234
Lowest trough value in cleaned_60mV 150Hz_µA_3.csv: 0.18127070181324295
No troughs found in cleaned_60mV 150Hz_µA_4.csv
Lowest trough value in cleaned_60mV 150Hz_µA_5.csv: 0.05778235151439759
Lowest trough value in cleaned_60mV 150Hz_µA_6.csv: 0.23464122166325696
Lowest trough value in cleaned_60mV 150Hz_µA_7.csv: -0.033800523091661594
Lowest trough value in cleaned_60mV 150Hz_µA_8.csv: 0.05006379320452414
Lowest trough value in cleaned_60mV 200Hz_µA_1.csv: 0.2664991667541625
Lowest trough value in cleaned_60mV 200Hz_µA_2.csv: 0.24911481669297997
Lowest trough value in cleaned_60mV 200Hz_µA_3.csv: 0.2355862105751838
Lowest trough value in cleaned_60mV 200Hz_µA_4.csv: 0.19525739301694855
Lowest trough value in cleaned_60mV 200Hz_µA_5.csv: 0.06500317542519596
Lowest trough value in cleaned_60mV 200Hz_µA_6.csv: 0.251717633326636
Lowest trough value in cleaned_60mV 200Hz_µA_7.csv: -0.05216166542853995
Lowest trough value in cleaned_60mV 200Hz_µA_8.csv: 0.042513856053933985
Lowest trough value in cleaned_60mV 300Hz_µA_1.csv: 0.411805642540211
Lowest trough value in cleaned_60mV 300Hz_µA_2.csv: 0.34565327900450526
Lowest trough value in cleaned_60mV 300Hz_µA_3.csv: 0.3231991197152113
Lowest trough value in cleaned_60mV 300Hz_µA_4.csv: 0.28700186128443095
Lowest trough value in cleaned_60mV 300Hz_µA_5.csv: 0.13160610063464717
Lowest trough value in cleaned_60mV 300Hz_µA_6.csv: 0.3114595237242479
Lowest trough value in cleaned_60mV 300Hz_µA_7.csv: -0.053354154752020655
Lowest trough value in cleaned_60mV 300Hz_µA_8.csv: 0.04431237345356043
Lowest trough value in cleaned_60mV 80Hz_µA_1.csv: 0.142989331763213
Lowest trough value in cleaned_60mV 80Hz_µA_2.csv: 0.16187613738219975
Lowest trough value in cleaned_60mV 80Hz_µA_3.csv: 0.13035718917408487
No troughs found in cleaned_60mV 80Hz_µA_4.csv
Lowest trough value in cleaned_60mV 80Hz_µA_5.csv: 0.04327077750094355
Lowest trough value in cleaned_60mV 80Hz_µA_6.csv: 0.16869985166174328
No troughs found in cleaned_60mV 80Hz_µA_7.csv
Lowest trough value in cleaned_60mV 80Hz_µA_8.csv: 0.0747277065151486
Lowest trough value in cleaned_70mV 100Hz_µA_1.csv: 0.4506361728274787
Lowest trough value in cleaned_70mV 100Hz_µA_2.csv: 0.24275889014714602
Lowest trough value in cleaned_70mV 100Hz_µA_3.csv: 0.19402140538095125
No troughs found in cleaned_70mV 100Hz_µA_4.csv
Lowest trough value in cleaned_70mV 100Hz_µA_5.csv: 0.0763524488382556
Lowest trough value in cleaned_70mV 100Hz_µA_6.csv: 0.1855754240793419
No troughs found in cleaned_70mV 100Hz_µA_7.csv
Lowest trough value in cleaned_70mV 100Hz_µA_8.csv: 0.15039958513928642
Lowest trough value in cleaned_70mV 150Hz_µA_1.csv: 0.5740234623100682
Lowest trough value in cleaned_70mV 150Hz_µA_2.csv: 0.2812486820555782
Lowest trough value in cleaned_70mV 150Hz_µA_3.csv: 0.2386176690456141
No troughs found in cleaned_70mV 150Hz_µA_4.csv
Lowest trough value in cleaned_70mV 150Hz_µA_5.csv: 0.08960014462016685
